Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Challenge/Removal,Ban Status,Initiating Action
Next Summer,"Abbott, Hailey",,,,Summer Girls,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Summer Girls,"Abbott, Hailey",,,,Summer Girls,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
In the Belly of the Beast: Letters From Prison,"Abbott, Jack Henry",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The End of Everything,"Abbott, Megan",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Summer of Owen Todd,"Abbott, Tony",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Summer of Owen Todd,"Abbott, Tony",,,,,Virginia,Augusta County School District,Fall 2023,Banned,Informal Challenge
Does My Head Look Big in This?,"Abdel-Fattah, Randa",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Dr. Jekyll and Mr. Hyde,"Abdo, Kenny",,,,,Texas,North East Independent School District,June 2024,Banned,Administration
The Pool Was Empty,"Abier, Gilles","Ytak, Cathy",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Seminole County Public Schools,November 2023,Banned by restriction,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Iowa,Bondurant-Farrar Community School District,July 2023,Banned pending investigation,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Gender Identity (AA),"Abraham, Anika",,,,Topics Today,Kentucky,Boyle County Schools,October 2023,Banned,Administration
Bullet Point,"Abrahams, Peter",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hate Crimes in America,"Abramovitz, Melissa",,,,Special Reports,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
Crazy Love,"Abrams, Amir.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Clap When You Land,"Acevedo, Elizabeth",,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration
Clap When You Land,"Acevedo, Elizabeth",,,,,Florida,Collier County Public Schools,June 2024,Banned,Formal Challenge
Clap When You Land,"Acevedo, Elizabeth",,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Clap When You Land,"Acevedo, Elizabeth",,,,,Iowa,Shenandoah Community School District,June 2024,Banned,Administration
Clap When You Land,"Acevedo, Elizabeth",,,,,Iowa,Woodward-Granger Community School District,June 2024,Banned,Administration
Clap When You Land,"Acevedo, Elizabeth",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Hernando County Schools,October 2023,Banned by restriction,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Nassau County School District,November 2023,Banned,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Santa Rosa County Schools,July 2023,Banned pending investigation,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Seminole County Public Schools,November 2023,Banned by restriction,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Bondurant-Farrar Community School District,March 2024,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Nevada Community School District,October 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Pocahontas Area Community School District,June 2024,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Winterset Community School District,October 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,North Carolina,Charlotte-Mecklenburg Schools,October 2023,Banned,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Pennsylvania,Blackhawk School District,October 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Texas,Conroe Independent School District,November 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration
With the Fire on High,"Acevedo, Elizabeth",,,,,Florida,Clay County School District,December 2023,Banned,Formal Challenge
With the Fire on High,"Acevedo, Elizabeth",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
With the Fire on High,"Acevedo, Elizabeth",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
With the Fire on High,"Acevedo, Elizabeth",,,,,Iowa,Linn-Mar Community School District,June 2024,Banned pending investigation,Administration
With the Fire on High,"Acevedo, Elizabeth",,,,,Iowa,Sioux Center Community School District,June 2024,Banned,Administration
The Closest I've Come,"Aceves, Fred",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Florida,Orange County Public Schools,February 2024,Banned,Administration
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Florida,Santa Rosa County Schools,September 2023,Banned pending investigation,Formal Challenge
